id,value,des,games
flare.TTA.ElectronicArts,325,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. Founded in May 1982 by Apple employee Trip Hawkins, the company was a pioneer of the early home computer game industry and promoted the designers and programmers responsible for its games as ""software artists."" EA published numerous games and some productivity software for personal computers, all of which were developed by external individuals or groups until 1987's Skate or Die!. The company shifted toward internal game studios, often through acquisitions, such as Distinctive Software becoming EA Canada in 1991.
Currently, EA develops and publishes games of established franchises, including Battlefield, Need for Speed, The Sims, Medal of Honor, Command & Conquer, Dead Space, Mass Effect, Dragon Age, Army of Two, Apex Legends, and Star Wars, as well as the EA Sports titles FIFA, Madden NFL, NBA Live, NHL, and EA Sports UFC.",Super Mario Galaxy 2|@|Madden NFL 2003|@|Madden NFL 2004|@|NHL 2002|@|INSIDE|@|F1 Challenge '99-'02|@|NCAA Football 2004|@|NCAA Football 2003
flare.CVU.Capcom,150,"Capcom Co., Ltd. (Japanese: 株式会社カプコン, Hepburn: Kabushiki-gaisha Kapukon) is a Japanese video game developer and publisher.[5] It has created a number of multi-million-selling game franchises, with its most commercially successful being Resident Evil, Monster Hunter, Street Fighter, Mega Man, Devil May Cry, Dead Rising, Marvel vs. Capcom, and Ace Attorney. Established in 1979,[6] it has become an international enterprise with subsidiaries in Asia, Europe, and North America",The Legend of Zelda: A Link to the Past|@|Street Fighter IV|@|Super Street Fighter IV|@|Resident Evil 4: Wii Edition|@|Resident Evil (2002)|@|Okami HD|@|Monster Hunter: World - Iceborne|@|Monster Hunter: World
flare.CVU.Nintendo,130,"Nintendo Co., Ltd. (jap. 任天堂株式会社) is a Japanese multinational video game company headquartered in Kyoto, Japan. It develops video games and video game consoles. Nintendo was founded in 1889 as Nintendo Karuta[c] by craftsman Fusajiro Yamauchi and originally produced handmade hanafuda playing cards. It gained international recognition with the release of Donkey Kong in 1981 and the Nintendo Entertainment System and Super Mario Bros. in 1985.", The Legend of Zelda: Ocarina of Time|@|Super Mario Odyssey|@|Super Mario Galaxy|@|The Legend of Zelda: Breath of the Wild|@|The Legend of Zelda: The Wind Waker|@|The Legend of Zelda: Twilight Princess|@|The Legend of Zelda Collector's Edition|@|The Legend of Zelda: Majora's Mask
flare.TTA.TelltaleGames,104,"Telltale Incorporated (trade name: Telltale Games) was an American video game developer based in San Rafael, California. The company was founded in July 2004 by former LucasArts developers Kevin Bruner, Dan Connors and Troy Molander, following LucasArts' decision to leave the adventure game genre. Telltale established itself to focus on adventure games using a novel episodic release schedule over digital distribution, creating its own game engine, the Telltale Tool, to support this. It closed in October 2018 after filing for bankruptcy protection.","The Walking Dead: A Telltale Games Series|@|Tales From The Borderlands: Episode 5 - The Vault of the Traveler|@|The Walking Dead: Episode 5 - No Time Left|@|The Walking Dead: Episode 3 - Long Road Ahead|@|Sam & Max Episode 204: Chariots of the Dogs|@|Batman: The Enemy Within - Episode 5: Same Stitch|@|Sam & Max Episode 205: What's New, Beelzebub?|@|Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak"
flare.CVU.Konami,86,"Konami Holdings Corporation[nb 1][nb 2] is a Japanese entertainment conglomerate and video game company. In addition to being a video game developer and publisher, it also produces and distributes trading cards, anime, tokusatsu, pachinko machines, slot machines[7] and arcade cabinets. Konami has casinos around the world and operates health and physical fitness clubs across Japan.",Castlevania: Symphony of the Night|@|Dance Dance Revolution|@|Castlevania: Order of Ecclesia|@|Castlevania: Portrait of Ruin|@|Dance Dance Revolution Konamix|@|Castlevania Advance Collection|@|Winning Eleven: Pro Evolution Soccer 2007|@|Ring of Red
flare.USC.SquareEnix,76,"Square Enix Holdings Co., Ltd.[a] is a Japanese entertainment conglomerate and video game company best known for its Final Fantasy, Dragon Quest and Kingdom Hearts role-playing video game franchises, among numerous others. Outside of video game publishing and development, it is also in the business of merchandise, arcade/amusement facilities and manga publication under its Gangan Comics brand.", Final Fantasy XII|@|Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition|@|Final Fantasy XIV: Shadowbringers|@|Kingdom Hearts II|@|Final Fantasy VII Remake|@|Final Fantasy XIV: Stormblood|@|Dragon Quest XI: Echoes of an Elusive Age|@|Final Fantasy IV Pixel Remaster
flare.USC.Ubisoft,195,"Ubisoft Entertainment SA (/ˈjuːbisɒft, -sɔːft/; French: [ybisɔft];[6] formerly Ubi Soft Entertainment SA) is a French video game company headquartered in Saint-Mandé with development studios across the world. Its video game franchises include Assassin's Creed, Far Cry, For Honor, Just Dance, Prince of Persia, Rabbids, Rayman, Tom Clancy's, and Watch Dogs.",Rayman Legends|@|Rayman 2: The Great Escape|@|Trials Evolution|@|Silent Hunter III|@|Rayman 2 Revolution|@|Far Cry 3|@|Assassin's Creed: Brotherhood|@|Assassin's Creed II
flare.USC.Sega,57,"Sega Corporation[a] is a Japanese multinational video game and entertainment company headquartered in Shinagawa, Tokyo. Its international branches, Sega of America and Sega Europe, are headquartered in Irvine, California, and London. Its division for the development of both arcade games and home video games, Sega Games, has existed in its current state since 2020; from 2015 to that point, the two had made up separate entities known as Sega Games and Sega Interactive Co., Ltd. Sega is a subsidiary of Sega Group Corporation, a part of Sega Sammy Holdings. From 1983 until 2001, Sega also developed video game consoles.",Virtua Fighter 4: Evolution|@|Sonic Mania Plus|@|Valkyria Chronicles|@|Yakuza: Like a Dragon|@|Yakuza Kiwami 2|@|F355 Challenge|@|Sega Ages: OutRun|@|Hatsune Miku: Project Diva Future Tone - Future Sound
flare.OOP.OmegaForce,51,"Omega Force (Japanese: オメガフォース) (stylised as ω-Force) is a Japanese video game developer and a division of Koei Tecmo, founded in 1996 by Akihiro Suzuki and Kenichi Ogasawara,[2][3] and is best known for the Dynasty Warriors video games.",Dragon Quest Builders 2|@|Dynasty Warriors 8: Xtreme Legends - Definitive Edition|@|Hyrule Warriors: Age of Calamity|@|Dynasty Warriors 4|@|Dragon Quest Heroes: The World Tree's Woe and the Blight Below|@|Warriors Orochi 3 Ultimate|@|Persona 5 Strikers|@|Samurai Warriors 4
flare.TTA.Namco,110,"Namco Limited[a] (simply known as Namco) was a Japanese multinational video game and entertainment company, headquartered in Ōta, Tokyo. It held several international branches, including Namco America in Santa Clara, California, Namco Europe in London, Namco Taiwan in Kaohsiung, and Shanghai Namco in mainland China.",Tekken 3|@|SoulCalibur II|@|Super Smash Bros. for Wii U|@|Pac-Man Championship Edition DX|@|Klonoa 2: Lunatea's Veil|@|SoulCalibur|@|Tekken: Dark Resurrection|@|Ridge Racer
flare.USC.ArcSystemWorks,38,"Arc System Works Co., Ltd. (アークシステムワークス株式会社, Āku Shisutemu Wākusu kabushiki gaisha), commonly referred to as ArcSys, is a Japanese video game developer and publisher located in Yokohama. Founded by Minoru Kidooka in 1988, the company is known for arcade 2D fighting game franchises, including Guilty Gear and BlazBlue, as well as other license-based fighting games for Dragon Ball, Persona 4 and others.",BlazBlue: Calamity Trigger|@|Guilty Gear X2|@|BlazBlue: Central Fiction - Special Edition|@|Guilty Gear Xrd: Rev 2|@|Persona 4 Arena|@|Dragon Ball FighterZ|@|Persona 4 Arena Ultimax|@|BlazBlue: Central Fiction
flare.IWD.Codemasters,36,"The Codemasters Software Company Limited (trade name: Codemasters) is a British video game developer and publisher based in Southam, England, which is a subsidiary of American corporation Electronic Arts. Founded by brothers Richard and David Darling in October 1986, Codemasters is one of the oldest British game studios, and in 2005 was named the best independent video game developer by magazine Develop.[4]",F1 2020|@|F1 2019|@|F1 2017|@|F1 2021|@|DiRT 4|@|Colin McRae Rally 3|@|DiRT 3|@|DiRT Rally
flare.TTA.NipponIchiSoftware,36,"Nippon Ichi Software, Inc. (株式会社日本一ソフトウェア, Nippon Ichi Sofutowea, known as Prism Kikaku Ltd. from July 1993 to July 1995) is a Japanese video game developer and publisher. The company has developed a number of traditional role-playing video games, but their latest releases have primarily been tactical RPG games. They have made games such as the Disgaea and Marl Kingdom tactical role-playing series, as well as La Pucelle: Tactics, Phantom Brave, Makai Kingdom: Chronicles of the Sacred Tome, and Soul Nomad & the World Eaters. The company has also published anime. Its corporate mascot is the Disgaea character Prinny.",Disgaea 2: Cursed Memories|@|Disgaea 2: Dark Hero Days|@|Disgaea 1 Complete|@|Disgaea 4: A Promise Revisited|@|Disgaea DS|@|Disgaea 5 Complete|@|Phantom Brave|@|Disgaea 4: A Promise Unforgotten
flare.CVU.Level5,35,"Level-5 Inc. is a Japanese video game developer and publisher based in Fukuoka. The company was founded in October 1998 by Akihiro Hino after he departed from Riverhillsoft. Early in its history, the company enjoyed a close relationship with Sony Computer Entertainment, with many of its games then funded by and produced in conjunction with them. Level-5 began self-publishing its games in Japan by the late 2000s, with other companies such as Nintendo handling publishing worldwide. The company is best known for their Dark Cloud, Professor Layton, Inazuma Eleven, Ni no Kuni, Yo-kai Watch, and Snack World franchises.",Dark Cloud 2|@|Dragon Quest VIII: Journey of the Cursed King|@|Professor Layton and the Unwound Future|@|Professor Layton and the Curious Village|@|Ni no Kuni: Wrath of the White Witch|@|Professor Layton and the Diabolical Box|@|Rogue Galaxy|@|Professor Layton and the Last Specter
flare.OOP.Maxis,34,"Maxis is an American video game developer and a division of Electronic Arts (EA). The studio was founded in 1987 by Will Wright and Jeff Braun, and acquired by EA in 1997. Maxis is best known for its simulation games, including The Sims, Spore and SimCity.",The Sims|@|The Sims: Hot Date|@|SimCity 4|@|Spore|@|Spore Creature Creator|@|The Sims: Livin' Large|@|The Sims 4: Eco Lifestyle|@|The Sims Bustin' Out
flare.NFL.VisualConcepts,33,"Visual Concepts Entertainment is an American video game developer based in Novato, California. Founded in May 1988, the company is best known for developing sports games in the 2K franchise, most recently NBA 2K and WWE 2K, and previously NFL 2K and College Hoops 2K. Visual Concepts was acquired by Sega in May 1999 and sold to Take-Two Interactive in January 2005. The acquisition of the company led Take-Two Interactive to open their 2K label which Visual Concepts became part of, on the day following the acquisition.",NFL 2K1|@|NBA 2K1|@|NFL 2K3|@|NBA 2K2|@|ESPN NFL Football|@|ESPN NFL 2K5|@|NFL 2K2|@|NBA 2K12
flare.IWD.FromSoftware,31,"FromSoftware, Inc. is a Japanese video game development company founded in November 1986 and a subsidiary of Kadokawa Corporation. The company is best known for their Armored Core and Souls series, including the related games Bloodborne, Sekiro, and Elden Ring.",Bloodborne|@|Dark Souls II|@|Sekiro: Shadows Die Twice|@|Dark Souls III|@|Bloodborne: The Old Hunters|@|Dark Souls Remastered|@|Dark Souls III: The Ringed City|@|Otogi 2: Immortal Warriors
flare.IWD.VicariousVisions,31,"Blizzard Albany (formerly Vicarious Visions, Inc.) is an American video game developer based in Albany, New York. The studio was acquired by Activision in January 2005. After releasing its last game as part of that company, Tony Hawk's Pro Skater 1 + 2, Vicarious Visions became part of Activision's sister company Blizzard Entertainment in January 2021 and was merged into it in April 2022, thereby being renamed Blizzard Albany.",Doom 3|@|Tony Hawk's Pro Skater 1 + 2|@|Spider-Man: Mysterio's Menace|@|Skylanders Swap Force|@|Guitar Hero III: Legends of Rock|@|Skylanders: Spyro's Adventure|@|Crash Bandicoot N. Sane Trilogy|@|Skylanders SuperChargers
flare.CVU.BlizzardEntertainment,31,"Blizzard Entertainment, Inc. is an American video game developer and publisher based in Irvine, California. A subsidiary of Activision Blizzard, the company was founded on February 8, 1991, under the name Silicon & Synapse, Inc. by three graduates of the University of California, Los Angeles:[3] Michael Morhaime, Frank Pearce and Allen Adham. The company originally concentrated on the creation of game ports for other studios' games before beginning development of their own software in 1993 with games like Rock n' Roll Racing and The Lost Vikings. In 1993, the company became Chaos Studios, Inc., and eventually Blizzard Entertainment after being acquired by distributor Davidson & Associates. Shortly thereafter, Blizzard released Warcraft: Orcs & Humans.", Diablo|@|World of Warcraft|@|Starcraft II: Wings of Liberty|@|Warcraft III: Reign of Chaos|@|World of Warcraft: Wrath of the Lich King|@|World of Warcraft: The Burning Crusade|@|Overwatch|@|Diablo III: Ultimate Evil Edition
flare.IWD.TeamNinja,29,"Team Ninja (Japanese: チームニンジャ) (stylised as Team NINJA) is a Japanese video game developer, book publisher, and a division of Koei Tecmo, founded in 1995 as a part of Tecmo. It is founded and formerly led by Tomonobu Itagaki, later by Yosuke Hayashi, and is best known for the Ninja Gaiden action-adventure game series and the Dead or Alive fighting game series.",Ninja Gaiden Black|@|Ninja Gaiden|@|DOA2: Hardcore|@|Nioh|@|The Nioh Collection|@|Ninja Gaiden Sigma|@|Nioh 2|@|Dead or Alive
flare.CVU.ZenStudios,29,"Zen Studios is a Hungarian video game developer and publisher of interactive entertainment software with headquarters in Budapest, Hungary and offices in the United States. It is known for its game franchises, Pinball FX and Zen Pinball, as well as CastleStorm, a tower defense hybrid which received the Apple Store's Editor’s Choice award.[2][3] The company is considered ""synonymous with licensed pinball tables,"" having produced dozens of tables with characters and themes from the Star Wars and Marvel universes, films like Guardians of the Galaxy, TV series like Archer, South Park, Family Guy and Bob's Burgers, and video game franchises such as Plants vs. Zombies, Portal, Street Fighter, and The Walking Dead.[4][5][6]",Star Wars Pinball: Balance of the Force|@|Pinball FX 2|@|ZEN Pinball 2: South Park: Super-Sweet Pinball|@|ZEN Pinball 2: Aliens Vs. Pinball|@|Pinball FX 2: Marvel Pinball - Vengeance and Virtue|@|ZEN Pinball 2|@|Marvel Pinball|@|ZEN Pinball 2: The Walking Dead
flare.IWD.SonicTeam,29,Sonic Team[a] is a video game developer owned by the Japanese video game company Sega as part of its Sega CS Research and Development No. 2 division. Sonic Team is best known for the long-running Sonic the Hedgehog series and games such as Nights into Dreams and Phantasy Star Online.,Samba de Amigo|@|Sonic Advance|@|Phantasy Star Online Episode I & II|@|ChuChu Rocket!|@|Puyo Pop|@|Sega Ages: Sonic the Hedgehog 2|@|Puyo Puyo Tetris|@|Sonic Pinball Party
flare.USC.BioWare,29,"BioWare is a Canadian video game developer based in Edmonton, Alberta. It was founded in 1995 by newly graduated medical doctors Ray Muzyka, Greg Zeschuk and Augustine Yip, alongside Trent Oster, Brent Oster, and Marcel Zeschuk. Since 2007, the company has been owned by American publisher Electronic Arts.",Baldur's Gate II: Shadows of Amn|@|Mass Effect 2|@|Star Wars: Knights of the Old Republic|@|Mass Effect 3|@|Neverwinter Nights|@|Baldur's Gate|@|Mass Effect|@|Dragon Age: Origins
flare.TTA.Atlus,28,"Atlus Co., Ltd. (株式会社アトラス, Kabushikigaisha Atorasu) is a Japanese video game developer, publisher, arcade manufacturer and distribution company based in Tokyo. A subsidiary of Sega, the company is known for video game series such as Megami Tensei, Persona, Etrian Odyssey and Trauma Center, as well as Print Club (Purikura) arcade machines. Its corporate mascot is Jack Frost, a snowman-like character from their Shin Megami Tensei series. Outside of video games, the company is known for their Purikura arcade machines, which are selfie photo sticker booths popular in East Asia.",Persona 5 Royal|@|Persona 4 Golden|@|Persona 5|@|Shin Megami Tensei: Persona 3 Portable|@|Radiant Historia|@|Shin Megami Tensei: Devil Survivor|@|Shin Megami Tensei: Devil Survivor 2 Record Breaker|@|Etrian Odyssey IV: Legends of the Titan
flare.USC.Midway,28,"Midway Games Inc., known variously as Midway Manufacturing and Bally Midway, and commonly known as simply Midway, was an American video game developer and publisher. Midway's franchises included Mortal Kombat, Rampage, Spy Hunter, NBA Jam, Cruis'n, and NFL Blitz. Midway also acquired the rights to video games that were originally developed by Williams Electronics and Atari Games, such as Defender, Joust, Robotron 2084, Gauntlet, and the Rush series.",San Francisco Rush 2049|@|Psi-Ops: The Mindgate Conspiracy|@|NHL Hitz 20-03|@|Mortal Kombat: Deadly Alliance|@|NHL Hitz 20-02|@|MLB Slugfest 20-04|@|Stranglehold|@|Mortal Kombat: Deception
flare.NFL.CreativeAssembly,28,"The Creative Assembly Limited (trade name: Creative Assembly) is a British video game developer based in Horsham, founded in 1987 by Tim Ansell. In its early years, the company worked on porting games to MS-DOS from Amiga and ZX Spectrum platforms, later working with Electronic Arts to produce a variety of games under the EA Sports brand. In 1999, the company had sufficient resources to attempt a new and original project, proceeding to develop the strategy computer game Shogun: Total War which was a critical and commercial hit, and is regarded as a benchmark strategy game. Subsequent titles in the Total War series built on the success of Shogun: Total War, increasing the company's critical and commercial success.",Rome: Total War|@|Empire: Total War|@|Total War: Shogun 2|@|Medieval II: Total War|@|Total War: WARHAMMER|@|Total War: Shogun 2 - Fall of the Samurai|@|Medieval II: Total War Kingdoms|@|Total War: Three Kingdoms
flare.TTA.Milestone,28,"Milestone S.r.l. is an Italian video game developer based in Milan that focuses on racing games. It was founded by Antonio Farina in 1994, originally under the name Graffiti, before becoming Milestone in 1996. Milestone was part of Leader Group between 2002 and 2011, and in August 2019, the studio was acquired by Koch Media.",MotoGP 20|@|MotoGP 21|@|MotoGP 19|@|Monster Energy Supercross - The Official Videogame 3|@|SBK X: Superbike World Championship|@|RIDE 4|@|Hot Wheels Unleashed|@|MotoGP 13
flare.USC.TaitoCorporation,27,"Taito Corporation[a] is a Japanese company that specializes in video games, toys, arcade cabinets and game centers, based in Shinjuku, Tokyo. The company was founded by Michael Kogan in 1953 as the Taito Trading Company,[b] importing vodka, vending machines and jukeboxes into Japan. It began production of video games in 1973. In 2005, Taito was purchased by Square Enix, becoming a wholly owned subsidiary by 2006.[1]",Space Invaders Extreme 2|@|Space Invaders Extreme|@|Space Invaders Infinity Gene|@|RayStorm|@|Bust-A-Move 4|@|Bust-A-Move Live!|@|Touhou Spell Bubble|@|Exit
flare.USC.Gust,27,"Gust Co. Ltd. was founded in 1993 in Nagano, Japan, as the first game software house in Nagano Prefecture. The company began by creating dōjinshi games for personal computers. Its first project was Story of King Aress (アレス王の物語) for the PC-9801 personal computer. In 1994 the company became an official developer for the Sony PlayStation video game console, and its first PlayStation product was the simulation game Falcata (ファルカタ).[2] In 1997, Gust released Atelier Marie, the first game in the long-running, popular, and iconic Atelier series.[3] Since then the company has released several successful games for various home and portable video game systems.",Atelier Arland Series Deluxe Pack|@|Atelier Rorona Plus: The Alchemist of Arland|@|Atelier Ryza 2: Lost Legends & the Secret Fairy|@|Atelier Ryza: Ever Darkness & the Secret Hideout|@|Atelier Mysterious Trilogy Deluxe Pack|@|Ar nosurge Plus: Ode to an Unborn Star|@|Atelier Ayesha Plus: The Alchemist of Dusk|@|Atelier Shallie: Alchemists of the Dusk Sea
flare.CVU.DigitalEclipse,27,"Digital Eclipse is an American video game developer based in Emeryville, California. Founded by Andrew Ayre in 1992, the company found success developing commercial emulations of arcade games for Game Boy Color. In 2003, the company merged with ImaginEngine and created Backbone Entertainment. A group of Digital Eclipse employees split off from Backbone to form Other Ocean Interactive, which, in 2015, bought and revived the Digital Eclipse brand.
",Rayman Advance|@|Disney's Lilo & Stitch|@|Mega Man Legacy Collection|@|Mega Man Legacy Collection + Mega Man Legacy Collection 2|@|SNK 40th Anniversary Collection|@|Capcom Classics Collection|@|Disney Classic Games: Aladdin and the Lion King|@|Spyro 2: Season of Flame